Name;Description;KeySkills;ProfessionalRoles;City;SBERT_Disciplines;SBERT_plus_LLaMA_Recommendations
Менеджер по коммерческой недвижимости;"""Европея"" - одна из крупнейших строительных компаний на юге России, специализирующаяся на комплексном создании жилой среды. В портфеле компании уже более 17 жилых районов, реализованных с 2007 года.За 16 лет деятельности компании введен в эксплуатацию 1.5 млн кв м и проведено озеленение площадью в 11 Га. У нас открыт набор на позицию Менеджер по коммерческой недвижимости ЧЕМ ВАМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:  Вести поиск и подбор арендаторов для помещений ЖК группы компаний, согласно разработанной коммерческой концепции Организовывать размещения в установленный срок арендаторов, собственников Контролировать поступления денежных средств Выполнять план по сдаче площадей в аренду и план по продажам площадей, согласно коммерческой концепции ЖК Проводить переговоры с целью подписания ПДА, ДКП Проводить презентаций Подготавливать документы и организовывать подписания ПДА,ДКП Контролировать соблюдения интересов компании в части эксплуатационных, юридических и финансовых рисков Проводить мониторинг рынка объектов коммерческой недвижимости Составлять собственную базу объектов  ВЫ НАШ ИДЕАЛЬНЫЙ КАНДИДАТ, ЕСЛИ:  Имеете опыт работы от 1 года в аналогичной должности Готовность постоянно учиться, развиваться и обрабатывать большой объем работы Опыт работы в Битрикс 24 будет вашим преимуществом Вы целеустремленный, с отличными коммуникативными навыками  МЫ ПРЕДЛАГАЕМ:  Трудоустройство: в соответствии с ТК РФ График работы: 5/2, с 09 до 18 (пт до 17), сб-вс выходные Место работы: г. Краснодар, Западный обход, 39 Широкая программа лояльности. ДМС, сертификаты в рестораны Холдинга: Мясо&Рыба, Pompano, Paulaner, сувенирная продукция, скидка на покупку жилья, корпоративные тренинги и корпоративный психолог, выгодные условия по картам в нашем банке - Газтрансбанк Интересные задачи в соответствии со стратегией развития Компании, кейсы для личного и профессионального роста  Оставляйте отклик или позвоните по указанному телефону.Станьте частью сильной команды с амбициозными целями!";Заключение договоров, Проведение презентаций, Подготовка коммерческих предложений, Ведение переговоров, Поиск и привлечение клиентов;Агент по недвижимости;Краснодар;"Реализация высокотехнологичных проектов на базе инновационной инфраструктуры России; Политика России в Азии; Брендинг городов; Пространство, природные ресурсы и инфраструктуры российских регионов; География городов России; Основы девелопмента; Стратегическое планирование социально-экономического развития регионов и муниципальных образований; Финансовые инновации; Партисипаторное городское планирование; Экономико-правовые условия деятельности иностранных компаний на рынках Европы и Азии; Менеджмент в некоммерческих организациях; Научно-исследовательский семинар ""Современные модели и методы управления проектами в РФ""; Проектный семинар ""Традиционные и гибкие методы управления проектами""; Политические процессы в Восточной Европе; Управление проектами в Европе; Креативные индустрии в городе; Социально-экономическая география России; Сделки с недвижимым имуществом в российском и зарубежном праве; Правовое регулирование недвижимости и строительства; Особые территории России: нетривиальные местные проблемы и подходы к их решению; Россия: пространство, ресурсы, общество, регионы; История архитектуры России XX–XXI вв.; Пространственное развитие и управление; Проектный семинар ""Инфраструктура развития производственных систем""; История городов России";"Основы девелопмента; Социально-экономическая география России; Правовое регулирование недвижимости и строительства; Сделки с недвижимым имуществом в российском и зарубежном праве; Управление проектами в Европе; Политические процессы в Восточной Европе; Креативные индустрии в городе; Стратегическое планирование социально-экономического развития регионов и муниципальных образований"
Разработчик компьютерного зрения (распознавание изображения двигающихся объектов по пикселям);"Группа компаний ""Турбулентность-ДОН"" - производственная компания, занимающаяся разработкой, изготовлением и продажей промышленного нефтегазового оборудования. На новый проект у нас открылась вакансия: разработчик компьютерного зрения/Computer Vision Developer/CV-разработчик, Computer vision engineer/CV-инженер Обязанности:  разработка, тестирование, отладка, развертывание и обслуживание алгоритмов и оборудования компьютерного зрения для различных задач и сред; разработка алгоритмов автоматизированного машинного зрения (сегментация, классификация, генерация изображений, распознавание действия, перенос стиля), преимущественно для работы с автономными аппаратными системами; создание техдокументации для систем компьютерного зрения, в качестве мануалов для конечных пользователей; управление проектами компьютерного зрения, включающее определение требований к ним, разработку бюджета, координацию группами технических разработок; мониторинг последних исследований и технологических достижений для применения их в своей работе.  Требования:  Высшее: прикладная математика и информатика и аналогичное. знание матанализа, линейной алгебры, статистики; языков С/C++, Python, Java; библиотек и инструментов ML – PyTorch, OpenCV, Caffe, Catboost, MatLab, Point Cloud Library, NumPy, Matplotlib, TensorFlow, Scikit-learn, SciPy; нейросетевых моделей – ResNet, HRNet, Swin, DaViT и пр.; принципов работы с GIT; понимание принципов работы алгоритмов машинного обучения знание английского на уровне чтения технической документации аналитический, математический склад ума; развитое системное и логическое мышление; интеллектуальная гибкость; креативность; организованность; ответственность; нацеленность на результат.  Условия:  интересные и сложные задачи; высокий уровень оплаты труда. ";Python, C++, Computer Vision, Алгоритмы и структуры данных, Apache Spark, TensorFlow, Hadoop, Deep Learning, методы ML, Machine Learning;Программист, разработчик;Ростов-на-Дону;"Семинар наставника ""Вычислительные системы и комплексы""; Научно-исследовательский семинар ""Введение в промышленную инженерию программного обеспечения""; Научно-исследовательский семинар ""Технологии компьютерного зрения""; Научно-исследовательский семинар ""Аналитические хранилища данных. Корпоративная архитектура и процессы моделирования""; Проектный семинар ""Инжиниринг предприятия""; Схемотехника вычислительных систем и устройств; Аппаратные средства вычислительной техники; Научно-исследовательский семинар «Методологии разработки программного обеспечения»; Технологии цифрового производства и промышленная робототехника; Управление инновационными и венчурными проектами; Проектный семинар ""Основы проектирования вычислительных устройств и систем""; Анализ и постановка задачи на создание информационных систем; Компьютерное зрение и анализ изображений; Научно-исследовательский семинар ""Формальные методы в программной инженерии""; Проектирование информационно-управляющих систем; Производство AR/VR проектов; Основы концептуального проектирования новаций; Проектно-исследовательский семинар; Управление требованиями и проектирование ИС; Управление разработкой ПО; Научно-исследовательский семинар ""Технологии искусственного интеллекта""; Семинар наставника ""Компьютерные сети""; Научно-исследовательский семинар ""Облачные технологии""; Проектирование операционных систем; Инструментальные средства моделирования";"Технологии компьютерного зрения; Аппаратные средства вычислительной техники; Научно-исследовательский семинар «Методологии разработки программного обеспечения»; Технологии цифрового производства и промышленная робототехника; Компьютерное зрение и анализ изображений; Научно-исследовательский семинар ""Формальные методы в программной инженерии""; Проектирование информационно-управляющих систем; Научно-исследовательский семинар ""Технологии искусственного интеллекта"";"
Менеджер по работе с клиентами;"Мы расширяем штат и ищем в команду 1-2 специалистов по работе с клиентами: слушать, слышать и быть связующим звеном между клиентом и техническим отделом. О нас: Занимаемся техническим сопровождением мероприятий: предоставляем звук, свет, сцены и много чего ещё. Работаем на концертах, фестивалях, выставках, банкетах; в нашем офисе выдаём в аренду небольшие комплекты самовывозом. Снимаем с организаторов головную боль за техническую часть, чтобы гости могли испытать максимум удовольствия от шоу.Обязанности:  работа со входящими заявками (телефон, почта, мессенджеры) и CRM; консультирование клиентов по услугам компании; выставление счетов, актов и договоров по шаблону; подготовка к подтверждённым проектам: постановка задач, смены сотрудникам, простая логистика между точками (если за день их несколько).    Мы ждём в команде человека, который:  имеет опыт работы на аналогичной должности от 1 года (менеджером по работе с клиентами или менеджером по продажам B2B); важно: разбираться в оборудовании для мероприятий не нужно, мы ищем менеджера, а не технического специалиста; обладает развитыми коммуникативными навыками, умеет располагать людей к себе; грамотно говорит и пишет на русском языке; знает, что такое работа в условиях многозадачности; любит находить решения в незнакомых ситуациях, опирается в решениях на широкий кругозор и общую логику; обладает умеренным чувством юмора (обязательно с его наличием!) и позитивным настроем «а как всё-таки можно решить эту задачу, пусть даже неидеально?» умеет работать с таблицами, документами, мессенджерами.    Условия:  сменный график, 4-5 смен в неделю по согласованию с соискателем. Самые востребованные дни: понедельник, четверг, пятница; рабочий день: с 11:30 до 20:30 (офис для клиентов работает с 12:00 до 20:00), перерыв 1 час; оклад + KPI (80-120 тыс. руб. в месяц); испытательный срок — 1 месяц (на время испытательного срока оплата от 50 тыс. руб); первую неделю — ежедневные выплаты, в дальнейшем — раз в 1-2 недели. вводный курс обучения и наставничество; офис в центре Петербурга: семь минут от ст. м. «пл. Восстания» и «Лиговский пр»; адекватный небольшой коллектив; безлимитный кофе и чай; а ещё у нас нет дресс-кода.    Возможности:  развиваться в направлениях: менеджмент проектов, развитие бизнеса; повысить квалификацию в профессиональном звуковом, музыкальном и световом оборудовании; бывать на площадках мероприятий во время подготовки и проведения мероприятия, знакомиться с закулисной жизнью; пользоваться внутренней скидкой 30-50% на аренду оборудования для своих целей (чаще всего сотрудники берут: микрофоны, колонки, проекторы, прожекторы, музыкальные инструменты).  Откликнуться:  Что лучше написать в отклике: ссылки на ваши соцсети и несколько предложений о себе, которые покажут вашу грамотность и умение излагать мысли (Почему вы? Какой у вас опыт и амбиции? Что нам важно знать о вас?)";Телефонные переговоры, Навыки переговоров, Заключение договоров, Навыки продаж, Деловая коммуникация, Работа с большим объемом информации, B2B Продажи;Менеджер по продажам, менеджер по работе с клиентами;Санкт-Петербург;Нет дисциплин;Нет рекомендаций
Инженер по тестированию ПО;"Digital Spirit - мы занимаемся заказной разработкой высоконагруженных ИТ-решений для наших клиентов (финансовый сектор, производство, ритейл), проектируем и поддерживаем их инфраструктуру уровня Enterprise, а также развиваем собственное продуктовое направление. Разрабатываем: онлайн банки, единые интеграционные и микросервисные платформы, высоконагруженные многопоточные приложения, автоматизируем бизнес-процессы и другие сложные бизнес-продукты. Наши мейнстримные направления и технологии: Backend (Java, Golang) и Frontend (Angular, Vue.js), системный и бизнес-анализ, тестирование, дизайн, DevOps. Обучаем коллег, предлагаем сложные проекты, поддерживаем атмосферу взаимопомощи, постоянно улучшаем рабочие процессы. Что предстоит:  Проводить ручное, функциональное, интеграционное, регрессионное и сквозное тестирование, согласно планам и методологии проектов; Коммуникация с командами проектов для построения эффективного процесса функционального тестирования; Написание необходимой тестовой документации для проведения тестирования; Разработка и поддержка тестовой модели, наполнение тест-кейсами; Моделирование ошибок, возникающих у пользователей;  Какой опыт потребуется:   Понимание принципов и методологии тестирования информационных систем (ui, backend); Понимание азов микросервисной архитектуры, SOA; Опыт разработки заглушек (SoapUI или Wiremock); SQL (Стандартные запросы); Знакомство с JSON; Тестирование Web-API - Soap/Rest (Fiddler, Postman, SoapUI); Тестирование Kafka, MQ; Работа с JIRA, Confluence, Kibana; Умение работать с режимом разработчика в браузерах; Умение правильно расставлять приоритеты при работе с ошибками;  Будет плюсом:  Опыт работы в банковской области; Опыт автоматизированного тестирования API; Работа с ElasticSearch; Знакомство c XML, XSD, WSDL; Тестирование Kafka, MQ; Работа с инструментом Charles; Тестирование мобильных приложений;  Мы предлагаем:  Работу в аккредитованной Минцифры России ИТ-компании; Официальное оформление, стабильный конкурентный доход; График работы 5/2, гибридный формат работы в наших офисах в Москве; Гибкое начало рабочего дня по согласованию с командой; ДМС (стоматология включена); Современный стек технологий в разработке; Оплату посещения профильных конференций и курсов; Возможность вертикального и горизонтального карьерного роста; Работу в команде профессионалов, которые всегда готовы поделиться опытом и поддержать ваши инициативы; Современную технику, на которой удобно и приятно работать. ";SQL, JSON, SOAP, REST, API;Тестировщик;Москва;Нет дисциплин;Нет рекомендаций
Руководитель рекламного производства;"Приветствуем! Мы — компания Top Group, и в нашей команде появилась вакансия — Руководитель рекламного производства. Возможно, эта работа для тебя! Основное направление деятельности — производство рекламных, информационных конструкций и МАФ. Обязанности:  Организация и контроль работы производства; Планирование, корректное распределение загрузки сотрудников; Контроль финансового документооборота; Планирование работы и решения вопросов подразделения, взаимодействие с другими подразделениями компании; Организация производства всех видов рекламных продуктов; Оптимизация процессов производства и стоимости рекламных материалов. Оптимизация ценообразования производственного процесса; Контроль за соблюдением сроков и качества. Контроль прохождения заказов на всех этапах; Анализ рынка, поиск наиболее актуальных и нестандартных предложений, расширение пула подрядчиков и поставщиков.  Требования:  Опыт работы от 5-ти лет в сфере рекламно-производственной деятельности; Отличное знание рынка рекламных рекламных конструкций, материалов, оборудования; Знание ценообразования, производственных материалов, технологии и специфики производства; Высокий уровень самоорганизации, лидерские качества, умение управлять конфликтами; Опыт оптимизации процессов производства и стоимости производимой продукции.  Условия:  Удобное расположение производства (район Космос); График работы 5/2 с 9.00 до 18.00; Финальный уровень заработной платы обсуждается с кандидатом по итогам собеседования; Официальное оформление по ТК РФ по запросу. ";Организаторские навыки, Контроль качества, Управление персоналом, Анализ рынка, Контроль и анализ ценообразования;Начальник производства;Красноярск;"Маркетинг и продажи; Управление продуктом и продуктовая аналитика; Управление продажами; Менеджер продукта; Предпринимательское лидерство и выход на международные рынки; Работа с клиентской базой и входящий маркетинг; Омниканальные продажи и торговый маркетинг; Лидерство: бизнес-лаборатория директора по маркетингу; Разработка маркетинговой стратегии: управленческое консультирование; Маркетинг; Управление взаимоотношениями в маркетинге; Управление медиапродуктом; Основы стратегического менеджмента и маркетинга; Современный менеджер: введение в профессию; Корпоративные и бренд-коммуникации; Стратегии брендинга и бренд-менеджмент; Управление брендом работодателя; Лидерство и построение команды в бизнесе; Корпоративные и бренд коммуникации; Лидерство и управление командой проекта; Практикум: Рекрутинг персонала; Управление маркетинговой командой; Управление продажами и взаимоотношениями с клиентами; Маркетинговые коммуникации и дизайн в рекламе; Управление продуктами в управлении проектом";"Маркетинг и продажи; Управление продуктом и продуктовая аналитика; Управление продажами; Менеджер продукта; Организаторские навыки; Контроль качества; Управление персоналом; Анализ рынка; Контроль и анализ ценообразования; Управление взаимоотношениями в маркетинге; Основы стратегического менеджмента и маркетинга; Управление медиапродуктом; Стратегии брендинга и бренд-менеджмент; Управление брендом работодателя; Лидерство и построение команды в бизнесе; Лидерство и управление командой проекта; Управление маркетинговой командой; Управление продажами и взаимоотношениями с клиентами; Управление продуктами в управлении проектом"
Менеджер по продажам интернет-магазина;"Группа Компаний ""ТАЭН"" - это лидер рынка по продажам инженерных систем отопления, водоснабжения, водоотведения. Современное производственное предприятие, инжиниринговая и торговая организация.  Залогом успеха нашей компании является наша команда. Мы даем все возможности для реализации потенциала начинающих специалистов, а наш опыт и профессионализм обуславливают стабильность во все времена.  Группа Компаний ""ТАЭН"" ведет свою деятельность по трем основным направлениям:  1. Производство сантехнических хомутов для крепления труб, соответствующее российским и европейским стандартам; трубы PE-RT для теплых полов высокого качества; гофрированного кожуха для защиты трубопроводов; комплектов обвязки насосного оборудования; 2. Эксклюзивный дистрибьютор продукции под собственной торговой маркой TAEN в России. Партнеры Группы Компаний ""ТАЭН"": WILO, Политэк, Danfoss/РИДАН, Ariston, BUDERUS, VIESSMANN, Tecofi, ROLS ISOMARKET, FLAMKO, KITURAMI и др. 3. E-commerce-продажа товаров: интернет-магазин компании, топ-площадки маркетплейсов (OZON, WB, Сбермегамаркет, Яндекс.Маркет и др.). В связи с расширением штата требуется менеджер по продажам сантехнического оборудования в интернет-магазин компании ТАЭН.Приглашаем на интересную должность с возможностью получения уникального опыта работы, профессионального развития и карьерного роста. Мы предлагаем:   Работу в стабильной компании с безупречной репутацией; Интересные задачи. Реальные возможности для самореализации; Трудоустройство согласно ТК РФ, своевременную ""белую"" заработную плату 2 раза в месяц; Заработную плату 60 000 - 100 000 руб. после вычета налогов;  ""Прозрачную"" систему мотивации; Система наставничества (Опытный наставник всегда поможет, подскажет, научит); Оборудованная комната для питания; Собственная парковка; Скидки на продукцию компании; Премирование сотрудников к юбилейной дате;  Новогодние подарки сотрудникам и детям;   Корпоративные конкурсы и мероприятия;  График работы: пн-пт с 9.00 до 18.00; сб - по графику один раз в месяц, вс - выходной; Офис: г. Екатеринбург, Академический район, ул. Академика Вонсовского, 1А, литер Ш  Основной функционал:  Прием входящих звонков, консультирование покупателей;  Ведение базы постоянных клиентов; Контроль осуществления продажи на всех этапах; Работа с документацией (выставление счетов, документов на отгрузку: накладные, счета-фактуры); Работа в 1С (научим).  Вы нам подходите, если у вас есть:   Опыт работы в сфере продаж от 1 года (в продажах оборудования для систем отопления, водоснабжения и водоотведения - будет вашим преимуществом); Среднее специальное или высшее образование; Внимательность, собранность, активность, целеустремлённость; Умение работать самостоятельно и в команде; Желание расти и учиться новому; Проактивность, работа на результат.   ";Навыки продаж, Работа с большим объемом информации, грамотная устная и письменная речь, Управление отношениями с клиентами;Менеджер по продажам, менеджер по работе с клиентами;Екатеринбург;Нет дисциплин;Нет рекомендаций
Администратор многоквартирных домов;"Обязанности:   Осуществление приема и консультирования жильцов по всем вопросам, касающихся содержания МКД.   Взаимодействие с доверенными лицами собственников по РСР (ремонтно-строительным работам)   Выставление счетов за дополнительные платные услуги в мобильном приложении   Работа с дебиторской задолженностью по МКД. Организация выполнения поступающих заявок в системе Домопульт. Выполнение отдельных служебных поручений своего непосредственного руководителя. Обеспечение эффективной работы службы клининга, охраны и технической службы - выдавать задания, контролировать выполнение заданий в соответствии с регламентами работ и технологическими картами Ежедневный обход и осмотр помещений дома, территории, автостоянок Ведение журнала обхода-осмотра помещений дома и территории с фиксацией всех нарушений, принятие мер к их устранению Выполнение поручений руководства в рамках исполнения своих должностных обязанностей Работа с инициативной группой, советами домов Организация и участие в общих собраниях собственников Оформление пакета документов ОСС (уведомления, протоколы, реестры) по различным вопросам Работа с технической документацией (паспорт мкд, техплан) Организация работы технического и линейного персонала   Требования:  Опыт работы в домах Бизнес-класса Опыт работы в ЖКХ от 2-х лет; Готовность к переработкам Уверенных пользователь ПК. Гибкое мышление, аккуратность, внимательность.  Условия:  График работы с 9.00 до 18.00; Оформление согласно ТК РФ; ";;Менеджер/руководитель АХО;Москва;Нет дисциплин;Нет рекомендаций
Операционный директор (женские сумки);"Наш заказчик - компания по производству сумок и аксессуаров из кожи. Главный принцип коллег - это совмещать удобство и стиль. + Создают вещи продуманные для жизни + Сохраняют высокое качество с 1996 года + Важен свой уникальный стиль В связи с ростом и развитием компании, собственник находится в поиске Исполнительного директора. Человека, который возьмет на себя основной блок управления и развития проекта и сможет поддерживать текущие высокие результаты, а также достичь новых высот. Обязанности: + управление организацией; + планирование, разработка и внедрение стратегических планов для компании; + разработка и организация выполнения бизнес-планов фирмы; + организация экономически обоснованной операционной деятельности организации; + контроль над работой компании, ее отделов и филиалов; + проверка поступления денежных средств на расчетный счет организации от контрагентов; + контроль над всеми расходами организации; + организация совещаний на предприятии; + проведение деловых встреч, переговоров с клиентами; + организация встречи акционеров; + работа с аудиторскими компаниями для проверки работы подразделений; + обеспечение высокого качества выполнения работ, оказания услуг или производимых товаров; + контроль над работой сотрудников; + отбор и утверждение кандидатов; + обучение персонала компании; + организации мероприятий по мотивированию сотрудников фирмы; + внедрение корпоративной культуры на предприятии. Требования:  Опыт работы Исполнительным / Операционным директором от 5- и лет; Опыт в аналогичной сфере и нише бизнеса; Знание сферы продаж; Управленческий опыт от 5-и лет; Аналитический склад ума; Коммуникабельность, активность; Ответственность; Гибкость мышления, креативный подход; Целеустремленность; Желание развиваться и самообучаться.  Условия:  Комфортабельное рабочее место в пешей доступности от м. Московские ворота; График работы 5/2 с 9:30 до 18:00 Стабильная заработная плата (обсуждается с финальным кандидатом); Возможности активного развития внутри компании; Дружный коллектив; Самостоятельность в работе, возможность собственной профессиональной реализации. ";;Операционный директор (COO);Санкт-Петербург;Нет дисциплин;Нет рекомендаций
Менеджер по работе с клиентами (менеджер проекта);"Компания EXLED - российский производитель светодиодного оборудования. Основные направления производства: уличные и интерьерные LED-экраны, светодиодные табло, алюминиевые светодиодные светильники промышленного и частного предназначения. Предприятие имеет большой опыт и экспертизу в производстве светодиодных изделий и оснащено современным лазерным оборудованием, обеспечивающим полный технологический процесс производства, начиная от обработки заявки и до получения изделия покупателем. Обязанности:  Проведение переговоров с клиентами, выход на сделку и сопровождение; Консультирование клиентов по продукту, формирование предложения под ТЗ клиента; Работа с базой клиентов; Подготовка спецификаций, контроль сроков бизнес-процессов; Поддержание эффективного взаимодействия с постоянными клиентами;  Требования:  Знание технологии и принципов продаж; Переговорные навыки на уверенном уровне; Знание делового общения, правила установления деловых контактов, ведение телефонных переговоров; Знание основ деловой переписки; Грамотная устная и письменная речь; Технический склад ума. Современный внешний вид; Опытный пользователь ПК, офисного оборудования, Excel/Word/GoogleDocs; Вежливость, корректность, развитые коммуникативные навыки; Умение работать с большим объемом информации; Пунктуальность и самоорганизация, умение планировать свое время, нацеленность на результат;  Условия:  Обучение продуктам компании и технологиям продаж при помощи фирменных обучающих материалов; Цены и качество от производителя; Востребованная сфера в B2B секторе без сезонности и по всей России / СНГ; Простая система мотивации, реальные планы; Оклад (от 65000 руб) + процентная часть + бонусная часть; Оплата моб. расходов; Работа в просторном лофт-офисе с 8 до 17 пн-пт. (обед) (производство отдельное помещение); Благоустроенная зона отдыха и приема пищи (чай, кофе, настольный теннис); Огороженная территория, парковка, кофейня, пекарня, супермаркет, рядом остановка; Работа в молодой, эффективной команде; Совместные мероприятия, тренинги, командные игры и прочее; ";Деловое общение, Деловая переписка, Телефонные переговоры, Грамотная речь, Проведение презентаций, Деловая коммуникация, Расчет и анализ себестоимости продукции и услуг, Составление смет, Управление продажами;Менеджер по продажам, менеджер по работе с клиентами;Владимир;Нет дисциплин;Нет рекомендаций
Руководитель сервисного центра;"Отдел продаж промышленного швейного оборудования приглашает в свою команду ""Руководитель сервисного центра "" ! Компания существует уже более 28 лет и занимает лидирующие позиции на рынке продаж швейного оборудования и аксессуаров для шитья известных мировых производителей.Сегодня – это коллектив профессионалов своего дела, готовых обучать и принимать в свою команду новых коллег. Обязанности:      Организация работы сервиса, распределение заказов между сотрудниками и контроль их выполнения; Организация тестирования оборудования и запчастей, составление отчетов о тестировании в Excel ; Работа с рекламациями клиентов, контроль сроков закрытия , составление рекламаций для отдела контроля качества; Работа с неликвидом и складом некомплекта, ежемесячная отчетность о состоянии склада; Составление заявок на запасные части, материалы, инструмент, контроль за их расходованием, учет склада гарантийных запчастей; Учет ремонтных работ, составление необходимой технической документации; Аналитика причин возникновения неисправности в соответствии с техническими нормами; Подготовка предложений по вопросам совершенствования организации ремонтных работ и технического обслуживания продуктов; Консультативная поддержка клиентов по техническим вопросам в Чате тех.поддержки на Вотсапп и по телефону; Сопровождение продаж сервисных услуг (подготовка договоров на обслуживание, сервис и т.д, выставление счетов); Подготовка финансовой и бухгалтерской отчетности деятельности сервиса.  Требования:  Опыт работы на аналогичной должности от 3 лет; Высшее техническое образование;  Опыт работы в сервисных службах будет конкурентным преимущестом.   Условия:  Офис в 15 мин. пешком от ст.м. ""Ладожская""; График 5/2 с 9.00 до 18.00 в офисе компании ; Высокий уровень дохода ( оклад + премиальная часть ) ; Испытательный срок 2-3 месяца.  Плюсы работы с нами:  Реальная возможность как профессионального, так и карьерного роста; ДМС или компенсация расходов на фитнес; Премии лучшим сотрудникам года; Премии и надбавки за выслугу лет; Скидки на продукцию компании ";Руководство коллективом, Организаторские навыки, Контроль качества;Начальник производства;Санкт-Петербург;Нет дисциплин;Нет рекомендаций
